epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3387,2.39133,3.98038,1.36847,0.0016,0.18154,0.00106,0.00038,2.07066,4.55541,1.25956,0.00064,0.00064,0.00064
2,60.6556,2.13523,2.20604,1.26145,0.00444,0.50462,0.00763,0.00302,2.16186,3.60076,1.35992,0.00125978,0.00125978,0.00125978
3,82.6773,2.15144,1.86956,1.29583,0.05478,0.15077,0.05911,0.02029,2.1672,3.10217,1.28408,0.00183873,0.00183873,0.00183873
4,105.202,2.21084,1.65808,1.33725,0.59134,0.34284,0.39719,0.14228,2.2222,2.02363,1.42556,0.00181438,0.00181438,0.00181438
5,127.985,2.13108,1.417,1.29422,0.61331,0.39077,0.40363,0.16072,2.05713,1.83193,1.29944,0.0017525,0.0017525,0.0017525
6,148.441,2.08575,1.32197,1.29342,0.71495,0.59426,0.61772,0.22841,2.04213,1.22183,1.25757,0.00169063,0.00169063,0.00169063
7,169.053,2.07071,1.26844,1.24897,0.67946,0.59077,0.59218,0.22149,2.02648,1.44114,1.23806,0.00162875,0.00162875,0.00162875
8,189.918,2.07618,1.19617,1.25406,0.71602,0.63385,0.64793,0.25915,1.96421,1.13629,1.21101,0.00156688,0.00156688,0.00156688
9,211.482,2.05657,1.15924,1.24468,0.71314,0.65783,0.66431,0.26378,1.9671,1.19648,1.23277,0.001505,0.001505,0.001505
10,232.755,2.05389,1.17119,1.25873,0.69344,0.60552,0.58413,0.20325,2.14279,1.38572,1.30758,0.00144312,0.00144312,0.00144312
11,253.659,2.02113,1.13103,1.25875,0.75853,0.66154,0.69424,0.25916,2.08838,1.06207,1.26711,0.00138125,0.00138125,0.00138125
12,275.575,2.01898,1.1414,1.25049,0.70937,0.60833,0.64153,0.23945,2.04881,1.15943,1.21609,0.00131938,0.00131938,0.00131938
13,297.468,2.01412,1.11132,1.2425,0.74575,0.65846,0.70487,0.27728,2.01073,1.05388,1.23305,0.0012575,0.0012575,0.0012575
14,319.245,1.97623,1.0981,1.21892,0.75234,0.61846,0.679,0.26776,1.96678,1.03937,1.19639,0.00119562,0.00119562,0.00119562
15,340.494,1.96776,1.08132,1.21575,0.65782,0.68615,0.62775,0.25064,1.98256,1.32691,1.21184,0.00113375,0.00113375,0.00113375
16,362.072,1.99243,1.04498,1.21371,0.79057,0.67692,0.71375,0.28919,1.97737,1.0049,1.21037,0.00107187,0.00107187,0.00107187
17,382.673,1.93009,1.02894,1.20721,0.79903,0.68,0.73245,0.3023,1.94932,1.0277,1.19818,0.00101,0.00101,0.00101
18,403.409,1.95252,1.03734,1.18898,0.756,0.66769,0.70019,0.27992,2.01436,1.03671,1.23847,0.000948125,0.000948125,0.000948125
19,424.982,1.92162,0.99701,1.18671,0.78297,0.60615,0.62223,0.24357,2.05276,1.03871,1.23137,0.00088625,0.00088625,0.00088625
20,446.172,1.96088,1.0153,1.19712,0.81555,0.70745,0.71629,0.29498,1.99286,0.97264,1.21929,0.000824375,0.000824375,0.000824375
21,467.605,1.91946,0.9796,1.18888,0.79464,0.68,0.68901,0.27338,2.01639,0.99052,1.21247,0.0007625,0.0007625,0.0007625
22,489.197,1.91187,0.98907,1.19202,0.74887,0.68308,0.72138,0.31088,1.92113,0.96555,1.17604,0.000700625,0.000700625,0.000700625
23,514.485,1.92005,1.00187,1.22601,0.79457,0.70462,0.70811,0.29404,1.96016,0.9901,1.20217,0.00063875,0.00063875,0.00063875
24,535.513,1.88434,0.95505,1.2137,0.82159,0.69538,0.71325,0.29994,1.93034,0.96221,1.18775,0.000576875,0.000576875,0.000576875
25,555.245,1.84529,0.93411,1.18917,0.82806,0.72308,0.7537,0.32335,1.91209,0.8973,1.1783,0.000515,0.000515,0.000515
26,575.331,1.82844,0.91816,1.17792,0.81472,0.71385,0.74306,0.3103,1.93615,0.92675,1.17998,0.000453125,0.000453125,0.000453125
27,595.395,1.81267,0.91602,1.18625,0.81115,0.68615,0.72346,0.28678,2.01822,0.95728,1.22154,0.00039125,0.00039125,0.00039125
28,615.4,1.80902,0.89673,1.17311,0.81636,0.68923,0.72789,0.30292,1.97994,0.9332,1.20169,0.000329375,0.000329375,0.000329375
29,635.763,1.79444,0.88458,1.16598,0.81864,0.72223,0.74812,0.32183,1.92557,0.88609,1.18459,0.0002675,0.0002675,0.0002675
30,655.894,1.78481,0.89384,1.16185,0.82959,0.67406,0.75067,0.32811,1.88876,0.88011,1.17783,0.000205625,0.000205625,0.000205625
31,675.371,1.75469,0.8733,1.14486,0.85516,0.72308,0.75244,0.32059,1.93768,0.88876,1.18518,0.00014375,0.00014375,0.00014375
32,695.324,1.74868,0.8549,1.14717,0.84474,0.7031,0.75543,0.32814,1.91581,0.87495,1.17752,8.1875e-05,8.1875e-05,8.1875e-05
